frame,tti-go,tti-nogo,tti-void
6755,0%,0%,100%
6756,0%,0%,100%
6757,0%,0%,100%
6760,0%,0%,100%
6761,0%,0%,100%
6762,0%,0%,100%
6763,0%,0%,100%
6764,0%,0%,100%
6765,0%,0%,100%
6766,0%,0%,100%
6767,0%,0%,100%
6768,0%,0%,100%
6769,0%,0%,100%
6770,0%,0%,100%
6771,0%,0%,100%
6772,0%,0%,100%
6773,0%,0%,100%
6774,0%,0%,100%
6775,0%,0%,100%
6776,0%,0%,100%
6777,0%,0%,100%
6778,0%,0%,100%
6779,0%,0%,100%
6780,0%,0%,100%
6781,0%,0%,100%
6782,0%,0%,100%
6783,0%,0%,100%
6784,0%,0%,100%
6785,0%,0%,100%
6786,0%,0%,100%
6787,0%,0%,100%
6788,0%,0%,100%
6789,0%,0%,100%
6790,0%,0%,100%
6791,0%,0%,100%
6792,0%,0%,100%
6793,0%,0%,100%
6794,0%,0%,100%
6795,0%,0%,100%
6796,0%,0%,100%
6797,0%,0%,100%
6798,0%,0%,100%
6799,0%,0%,100%
6800,0%,0%,100%
6801,0%,0%,100%
6802,0%,0%,100%
6803,0%,0%,100%
6804,0%,0%,100%
6805,0%,0%,100%
6806,0%,0%,100%
6807,0%,0%,100%
6808,0%,0%,100%
6809,0%,0%,100%
6810,0%,0%,100%
6811,0%,0%,100%
6812,0%,0%,100%
6813,0%,0%,100%
6814,0%,0%,100%
6815,0%,0%,100%
6816,0%,0%,100%
6817,0%,0%,100%
6818,0%,0%,100%
6819,0%,0%,100%
6820,0%,0%,100%
6821,0%,0%,100%
6822,0%,0%,100%
6823,0%,0%,100%
6826,0%,0%,100%
6827,0%,0%,100%
6828,0%,0%,100%
6829,0%,0%,100%
6830,0%,0%,100%
6831,0%,0%,100%
6832,0%,0%,100%
6833,0%,0%,100%
6834,0%,0%,100%
6835,0%,0%,100%
6836,0%,0%,100%
6837,0%,0%,100%
6838,0%,0%,100%
6840,0%,0%,100%
6841,0%,0%,100%
6842,0%,0%,100%
6844,0%,0%,100%
6845,0%,0%,100%
6848,0%,0%,100%
6849,0%,0%,100%
6850,0%,0%,100%
6852,0%,0%,100%
6853,0%,0%,100%
6854,0%,0%,100%
6855,0%,0%,100%
6856,0%,0%,100%
6857,0%,0%,100%
6859,0%,0%,100%
6860,0%,0%,100%
6861,0%,0%,100%
6862,0%,0%,100%
6863,0%,0%,100%
6864,0%,0%,100%
6865,0%,0%,100%
6866,0%,0%,100%
6867,0%,0%,100%
6868,0%,0%,100%
6869,0%,0%,100%
6870,0%,0%,100%
6871,0%,0%,100%
6872,0%,0%,100%
6873,0%,0%,100%
6874,0%,0%,100%
6875,0%,0%,100%
6876,0%,0%,100%
6877,0%,0%,100%
6878,0%,0%,100%
6879,0%,0%,100%
6880,0%,0%,100%
6881,0%,0%,100%
6882,0%,0%,100%
6883,0%,0%,100%
6884,0%,0%,100%
6885,0%,0%,100%
6887,0%,0%,100%
6889,0%,0%,100%
6891,0%,0%,100%
6894,0%,0%,100%
6899,0%,0%,100%
6900,0%,0%,100%
6902,0%,0%,100%
6903,0%,0%,100%
6904,0%,0%,100%
6905,0%,0%,100%
6906,0%,0%,100%
6907,0%,0%,100%
6908,0%,0%,100%
6909,0%,0%,100%
6910,0%,0%,100%
6911,0%,0%,100%
6912,0%,0%,100%
6913,0%,0%,100%
6914,0%,0%,100%
6917,0%,0%,100%
6919,0%,0%,100%
6920,0%,0%,100%
6921,0%,0%,100%
6922,0%,0%,100%
6923,0%,0%,100%
6924,0%,0%,100%
6925,0%,0%,100%
6928,0%,0%,100%
6929,0%,0%,100%
6930,0%,0%,100%
6936,0%,0%,100%
6938,0%,0%,100%
6942,0%,0%,100%
6943,0%,0%,100%
6947,0%,0%,100%
6948,0%,0%,100%
6949,0%,0%,100%
6950,0%,0%,100%
6951,0%,0%,100%
6953,0%,0%,100%
6954,0%,0%,100%
6955,0%,0%,100%
6978,0%,0%,100%
6979,0%,0%,100%
6982,0%,0%,100%
6984,0%,0%,100%
6985,0%,0%,100%
6990,0%,0%,100%
6995,0%,0%,100%
6998,0%,0%,100%
6999,0%,0%,100%
7000,0%,0%,100%
7001,0%,0%,100%
7005,0%,0%,100%
7006,0%,0%,100%
7027,0%,0%,100%
7363,0%,0%,100%
7524,0%,0%,100%
7525,0%,0%,100%
7526,0%,0%,100%
7527,0%,0%,100%
7530,0%,0%,100%
7533,0%,0%,100%
7535,0%,0%,100%
7546,0%,0%,100%
7554,0%,0%,100%
7558,0%,0%,100%
7559,0%,0%,100%
7560,0%,0%,100%
7561,0%,0%,100%
7562,0%,0%,100%
7563,0%,0%,100%
7564,0%,0%,100%
7565,0%,0%,100%
7566,0%,0%,100%
7567,0%,0%,100%
7568,0%,0%,100%
7569,0%,0%,100%
7570,0%,0%,100%
7571,0%,0%,100%
7596,0%,0%,100%
7598,0%,0%,100%
7599,0%,0%,100%
7600,0%,0%,100%
7602,0%,0%,100%
7603,0%,0%,100%
7604,0%,0%,100%
7605,0%,0%,100%
7606,0%,0%,100%
7607,0%,0%,100%
7608,0%,0%,100%
7609,0%,0%,100%
7614,0%,0%,100%
7615,0%,0%,100%
7616,0%,0%,100%
7631,0%,0%,100%
7632,0%,0%,100%
7633,0%,0%,100%
7634,0%,0%,100%
7635,0%,0%,100%
7636,0%,0%,100%
7637,0%,0%,100%
7638,0%,0%,100%
7639,0%,0%,100%
7641,0%,0%,100%
7647,0%,0%,100%
7648,0%,0%,100%
7655,0%,0%,100%
7656,0%,0%,100%
7672,0%,0%,100%
7674,0%,0%,100%
7675,0%,0%,100%
7677,0%,0%,100%
7678,0%,0%,100%
7679,0%,0%,100%
7681,0%,0%,100%
7682,0%,0%,100%
7683,0%,0%,100%
7684,0%,0%,100%
7727,0%,0%,100%
7858,0%,0%,100%
7861,0%,0%,100%
7870,0%,0%,100%
7886,0%,0%,100%
7887,0%,0%,100%
7900,0%,0%,100%
7905,0%,0%,100%
7906,0%,0%,100%
7917,0%,0%,100%
8624,0%,0%,100%
8626,0%,0%,100%
8635,0%,0%,100%
8747,0%,0%,100%
8749,0%,0%,100%
8760,0%,0%,100%
8764,0%,0%,100%
8839,0%,0%,100%
8865,0%,0%,100%
8866,0%,0%,100%
8871,0%,0%,100%
8877,0%,0%,100%
8879,0%,0%,100%
8880,0%,0%,100%
8882,0%,0%,100%
8904,0%,0%,100%
8919,0%,0%,100%
8920,0%,0%,100%
8921,0%,0%,100%
8922,0%,0%,100%
8926,0%,0%,100%
8927,0%,0%,100%
8970,0%,0%,100%
9061,0%,0%,100%
9063,0%,0%,100%
9064,0%,0%,100%
9065,0%,0%,100%
9066,0%,0%,100%
9067,0%,0%,100%
9069,0%,0%,100%
9071,0%,0%,100%
9072,0%,0%,100%
9172,0%,0%,100%
9204,0%,0%,100%
9205,0%,0%,100%
9206,0%,0%,100%
9207,0%,0%,100%
9209,0%,0%,100%
9210,0%,0%,100%
9211,0%,0%,100%
9212,0%,0%,100%
9213,0%,0%,100%
9214,0%,0%,100%
9215,0%,0%,100%
9216,0%,0%,100%
9217,0%,0%,100%
9218,0%,0%,100%
9219,0%,0%,100%
9220,0%,0%,100%
9221,0%,0%,100%
9222,0%,0%,100%
9223,0%,0%,100%
9224,0%,0%,100%
9225,0%,0%,100%
9226,0%,0%,100%
9227,0%,0%,100%
9228,0%,0%,100%
9229,0%,0%,100%
9230,0%,0%,100%
9231,0%,0%,100%
9232,0%,0%,100%
9233,0%,0%,100%
9234,0%,0%,100%
9235,0%,0%,100%
9236,0%,0%,100%
9237,0%,0%,100%
9238,0%,0%,100%
9243,0%,0%,100%
9244,0%,0%,100%
9245,0%,0%,100%
9246,0%,0%,100%
9247,0%,0%,100%
9249,0%,0%,100%
9250,0%,0%,100%
9251,0%,0%,100%
9252,0%,0%,100%
9253,0%,0%,100%
9254,0%,0%,100%
9255,0%,0%,100%
9256,0%,0%,100%
9257,0%,0%,100%
9258,0%,0%,100%
9259,0%,0%,100%
9260,0%,0%,100%
9261,0%,0%,100%
9262,0%,0%,100%
9263,0%,0%,100%
9264,0%,0%,100%
9265,0%,0%,100%
9266,0%,0%,100%
9267,0%,0%,100%
9268,0%,0%,100%
9269,0%,0%,100%
9270,0%,0%,100%
9271,0%,0%,100%
9272,0%,0%,100%
9273,0%,0%,100%
9274,0%,0%,100%
9275,0%,0%,100%
9276,0%,0%,100%
9277,0%,0%,100%
9278,0%,0%,100%
9279,0%,0%,100%
9280,0%,0%,100%
9281,0%,0%,100%
9282,0%,0%,100%
9283,0%,0%,100%
9284,0%,0%,100%
9285,0%,0%,100%
9286,0%,0%,100%
9287,0%,0%,100%
9288,0%,0%,100%
9289,0%,0%,100%
9290,0%,0%,100%
9291,0%,0%,100%
9292,0%,0%,100%
9293,0%,0%,100%
9294,0%,0%,100%
9295,0%,0%,100%
9296,0%,0%,100%
9297,0%,0%,100%
9298,0%,0%,100%
9299,0%,0%,100%
9300,0%,0%,100%
9301,0%,0%,100%
9302,0%,0%,100%
9303,0%,0%,100%
9304,0%,0%,100%
9305,0%,0%,100%
9306,0%,0%,100%
9307,0%,0%,100%
9308,0%,0%,100%
9309,0%,0%,100%
9310,0%,0%,100%
9311,0%,0%,100%
9312,0%,0%,100%
9313,0%,0%,100%
9314,0%,0%,100%
9315,0%,0%,100%
9316,0%,0%,100%
9317,0%,0%,100%
9318,0%,0%,100%
9319,0%,0%,100%
9320,0%,0%,100%
9321,0%,0%,100%
9322,0%,0%,100%
9323,0%,0%,100%
9324,0%,0%,100%
9325,0%,0%,100%
9326,0%,0%,100%
9327,0%,0%,100%
9328,0%,0%,100%
9329,0%,0%,100%
9330,0%,0%,100%
9331,0%,0%,100%
9332,0%,0%,100%
9333,0%,0%,100%
9334,0%,0%,100%
9335,0%,0%,100%
9336,0%,0%,100%
9337,0%,0%,100%
9338,0%,0%,100%
9339,0%,0%,100%
9340,0%,0%,100%
9341,0%,0%,100%
9342,0%,0%,100%
9343,0%,0%,100%
9344,0%,0%,100%
9345,0%,0%,100%
9346,0%,0%,100%
9347,0%,0%,100%
9348,0%,0%,100%
9349,0%,0%,100%
9350,0%,0%,100%
9351,0%,0%,100%
9352,0%,0%,100%
9353,0%,0%,100%
9354,0%,0%,100%
9355,0%,0%,100%
9356,0%,0%,100%
9357,0%,0%,100%
9358,0%,0%,100%
9359,0%,0%,100%
9360,0%,0%,100%
9361,0%,0%,100%
9362,0%,0%,100%
9363,0%,0%,100%
9364,0%,0%,100%
9365,0%,0%,100%
9366,0%,0%,100%
9367,0%,0%,100%
9368,0%,0%,100%
9369,0%,0%,100%
9370,0%,0%,100%
9371,0%,0%,100%
9372,0%,0%,100%
9373,0%,0%,100%
9374,0%,0%,100%
9375,0%,0%,100%
9376,0%,0%,100%
9377,0%,0%,100%
9378,0%,0%,100%
9379,0%,0%,100%
9380,0%,0%,100%
9381,0%,0%,100%
9382,0%,0%,100%
9383,0%,0%,100%
9385,0%,0%,100%
9386,0%,0%,100%
9387,0%,0%,100%
9388,0%,0%,100%
9389,0%,0%,100%
9390,0%,0%,100%
9391,0%,0%,100%
9392,0%,0%,100%
9393,0%,0%,100%
9394,0%,0%,100%
9395,0%,0%,100%
9396,0%,0%,100%
9397,0%,0%,100%
9398,0%,0%,100%
9399,0%,0%,100%
9400,0%,0%,100%
9401,0%,0%,100%
9402,0%,0%,100%
9403,0%,0%,100%
9404,0%,0%,100%
9405,0%,0%,100%
9406,0%,0%,100%
9407,0%,0%,100%
9408,0%,0%,100%
9409,0%,0%,100%
9410,0%,0%,100%
9411,0%,0%,100%
9412,0%,0%,100%
9413,0%,0%,100%
9414,0%,0%,100%
9415,0%,0%,100%
9416,0%,0%,100%
9417,0%,0%,100%
9418,0%,0%,100%
9419,0%,0%,100%
9420,0%,0%,100%
9421,0%,0%,100%
9422,0%,0%,100%
9423,0%,0%,100%
9424,0%,0%,100%
9425,0%,0%,100%
9426,0%,0%,100%
9427,0%,0%,100%
9428,0%,0%,100%
9429,0%,0%,100%
9430,0%,0%,100%
9431,0%,0%,100%
9432,0%,0%,100%
9433,0%,0%,100%
9434,0%,0%,100%
9435,0%,0%,100%
9436,0%,0%,100%
9437,0%,0%,100%
9438,0%,0%,100%
9439,0%,0%,100%
9440,0%,0%,100%
9441,0%,0%,100%
9442,0%,0%,100%
9443,0%,0%,100%
9444,0%,0%,100%
9445,0%,0%,100%
9446,0%,0%,100%
9447,0%,0%,100%
9448,0%,0%,100%
9449,0%,0%,100%
9450,0%,0%,100%
9451,0%,0%,100%
9452,0%,0%,100%
9453,0%,0%,100%
9454,0%,0%,100%
9455,0%,0%,100%
9456,0%,0%,100%
9457,0%,0%,100%
9458,0%,0%,100%
9459,0%,0%,100%
9460,0%,0%,100%
9461,0%,0%,100%
9463,0%,0%,100%
9472,0%,0%,100%
9473,0%,0%,100%
9474,0%,0%,100%
9475,0%,0%,100%
9476,0%,0%,100%
9477,0%,0%,100%
9478,0%,0%,100%
9479,0%,0%,100%
9480,0%,0%,100%
9481,0%,0%,100%
9482,0%,0%,100%
9483,0%,0%,100%
9484,0%,0%,100%
9485,0%,0%,100%
9486,0%,0%,100%
9489,0%,0%,100%
9491,0%,0%,100%
9501,0%,0%,100%
9527,0%,0%,100%
9528,0%,0%,100%
9578,0%,0%,100%
9602,0%,0%,100%
9603,0%,0%,100%
9884,0%,0%,100%
9886,0%,0%,100%
9915,0%,0%,100%
9971,0%,0%,100%
9972,0%,0%,100%
10024,0%,0%,100%
